acc	R1	R2
SRR1121724	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/004/SRR1121724/SRR1121724_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/004/SRR1121724/SRR1121724_2.fastq.gz
SRR1121672	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/002/SRR1121672/SRR1121672_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/002/SRR1121672/SRR1121672_2.fastq.gz
SRR1121637	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/007/SRR1121637/SRR1121637_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/007/SRR1121637/SRR1121637_2.fastq.gz
SRR1121726	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/006/SRR1121726/SRR1121726_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/006/SRR1121726/SRR1121726_2.fastq.gz
SRR1121730	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/000/SRR1121730/SRR1121730_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/000/SRR1121730/SRR1121730_2.fastq.gz
SRR1041453	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/003/SRR1041453/SRR1041453_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/003/SRR1041453/SRR1041453_2.fastq.gz
SRR1041525	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/005/SRR1041525/SRR1041525_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/005/SRR1041525/SRR1041525_2.fastq.gz
SRR1041463	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/003/SRR1041463/SRR1041463_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/003/SRR1041463/SRR1041463_2.fastq.gz
SRR1041474	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/004/SRR1041474/SRR1041474_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/004/SRR1041474/SRR1041474_2.fastq.gz
SRR1043950	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/000/SRR1043950/SRR1043950_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/000/SRR1043950/SRR1043950_2.fastq.gz
SRR1043943	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/003/SRR1043943/SRR1043943_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/003/SRR1043943/SRR1043943_2.fastq.gz
SRR1043940	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/000/SRR1043940/SRR1043940_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/000/SRR1043940/SRR1043940_2.fastq.gz
SRR1043948	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/008/SRR1043948/SRR1043948_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/008/SRR1043948/SRR1043948_2.fastq.gz
SRR1043947	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/007/SRR1043947/SRR1043947_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/007/SRR1043947/SRR1043947_2.fastq.gz
SRR1043939	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/009/SRR1043939/SRR1043939_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/009/SRR1043939/SRR1043939_2.fastq.gz
SRR1043942	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/002/SRR1043942/SRR1043942_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/002/SRR1043942/SRR1043942_2.fastq.gz
SRR1175794	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/004/SRR1175794/SRR1175794_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/004/SRR1175794/SRR1175794_2.fastq.gz
SRR1175817	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/007/SRR1175817/SRR1175817_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/007/SRR1175817/SRR1175817_2.fastq.gz
SRR1544217	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/007/SRR1544217/SRR1544217_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/007/SRR1544217/SRR1544217_2.fastq.gz
SRR1544401	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/001/SRR1544401/SRR1544401_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/001/SRR1544401/SRR1544401_2.fastq.gz
SRR1544324	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/004/SRR1544324/SRR1544324_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/004/SRR1544324/SRR1544324_2.fastq.gz
SRR1544340	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/000/SRR1544340/SRR1544340_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/000/SRR1544340/SRR1544340_2.fastq.gz
SRR1569734	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/004/SRR1569734/SRR1569734_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/004/SRR1569734/SRR1569734_2.fastq.gz
SRR1612289	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/009/SRR1612289/SRR1612289_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/009/SRR1612289/SRR1612289_2.fastq.gz
SRR1612305	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/005/SRR1612305/SRR1612305_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/005/SRR1612305/SRR1612305_2.fastq.gz
SRR1612338	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/008/SRR1612338/SRR1612338_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/008/SRR1612338/SRR1612338_2.fastq.gz
SRR1615943	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/003/SRR1615943/SRR1615943_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/003/SRR1615943/SRR1615943_2.fastq.gz
SRR1615964	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/004/SRR1615964/SRR1615964_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/004/SRR1615964/SRR1615964_2.fastq.gz
SRR1615966	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/006/SRR1615966/SRR1615966_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/006/SRR1615966/SRR1615966_2.fastq.gz
SRR1615971	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/001/SRR1615971/SRR1615971_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/001/SRR1615971/SRR1615971_2.fastq.gz
SRR1638895	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/005/SRR1638895/SRR1638895_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/005/SRR1638895/SRR1638895_2.fastq.gz
